,SeniorCitizen,tenure,MonthlyCharges,gender_Male,Dependents_Yes,PhoneService_Yes,MultipleLines_Yes,InternetService_Fiber optic,Contract_Month-to-month,Contract_One year,Contract_Two year,p_churn
4835,2.2267603235331674,-1.2849051825704358,-0.8243871999097687,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.6793926
6842,-0.4490829073213028,-0.23023138020266803,-0.6257917824802548,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.095338926
674,2.2267603235331674,-1.2849051825704358,0.8636738482410998,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7446092
419,-0.4490829073213028,-0.8792614124289867,0.16858988723780097,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5693915
993,-0.4490829073213028,1.4329080773772735,-0.6588910187185071,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.016618928
4745,-0.4490829073213028,0.702749291122665,-1.453272688436563,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.011452586
2809,-0.4490829073213028,-0.23023138020266803,-1.4863719246748153,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.04350515
6047,-0.4490829073213028,-0.5547463963158273,1.194666210623623,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.49531507
1238,-0.4490829073213028,1.3112149463348388,1.4594601005296417,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.08880069
4345,-0.4490829073213028,0.41879865202365063,-0.46029560128899316,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1026644
646,-0.4490829073213028,1.5140368314055634,1.2277654468618753,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.14418302
5708,-0.4490829073213028,1.5951655854338533,0.9298723207176044,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.06896044
5762,-0.4490829073213028,-1.2849051825704358,0.8636738482410998,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.70440793
2863,-0.4490829073213028,1.5951655854338533,1.29396391933838,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.14104192
5008,-0.4490829073213028,-1.2849051825704358,-1.453272688436563,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.22408469
1932,-0.4490829073213028,-1.2037764285421462,-0.46029560128899316,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6564549
2300,-0.4490829073213028,-1.2849051825704358,-0.2947994200977316,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.6340319
4725,-0.4490829073213028,1.3112149463348388,1.3270631555766323,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.16877428
3436,2.2267603235331674,0.4593630290377956,-1.155379562292292,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.091346085
6799,-0.4490829073213028,0.49992740605194047,-1.5194711609130676,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.005277315
4775,2.2267603235331674,-0.5141820193016825,0.5326814858585766,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5252478
86,-0.4490829073213028,0.7838780451509549,1.3270631555766323,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.25079203
611,-0.4490829073213028,-0.43305326527339266,0.16858988723780097,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.28691924
3782,-0.4490829073213028,-1.2849051825704358,-1.4863719246748153,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.045986585
1414,-0.4490829073213028,-1.0415189204855664,0.16858988723780097,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.42271775
1047,-0.4490829073213028,-1.1226476745138563,0.4664830133820719,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6459588
